name,company,year,Price,kms_driven,fuel_type
Nano,Tata,2013,60000,6800.0,Petrol
Suzuki Swift,Maruti,2011,140000,65000.0,Diesel
Suzuki Alto,Maruti,2014,199000,37000.0,Petrol
Accent GLE,Hyundai,2006,90000,55000.0,Petrol
Spark 1.0,Chevrolet,2011,100000,27000.0,Petrol
Etios Liva,Toyota,2014,160000,24652.0,Petrol
Suzuki Omni,Maruti,2012,160000,14000.0,Petrol
Zest Quadrajet,Tata,2017,180000,90000.0,Diesel
Indigo CS,Tata,2016,150000,104000.0,Diesel
i10 Era,Hyundai,2011,175000,30000.0,Petrol
Indigo eCS,Tata,2014,95000,195000.0,Diesel
Indigo Marina,Tata,2004,180000,70000.0,Diesel
Eon Magna,Hyundai,2013,185000,23000.0,Petrol
Suzuki Alto,Maruti,2009,90000,62000.0,Petrol
Nano LX,Tata,2010,32000,48008.0,Petrol
Suzuki Swift,Maruti,2006,189700,48247.0,Petrol
i10 Magna,Hyundai,2009,170000,75000.0,Petrol
Corolla Altis,Toyota,2010,185000,55000.0,Petrol
Manza Aqua,Tata,2014,160000,200000.0,Diesel
Venture EX,Tata,2013,100000,30000.0,Diesel
Octavia Classic,Skoda,2006,114990,65000.0,Diesel
Beat Diesel,Chevrolet,2011,125000,56000.0,Diesel
Suzuki Zen,Maruti,2002,95000,10544.0,Petrol
Ikon 1.6,Ford,2003,60000,50000.0,Petrol
Beat LT,Chevrolet,2012,130000,90001.0,Diesel
Suzuki Swift,Maruti,2010,190000,74000.0,Diesel
Santro Xing,Hyundai,2014,179000,57000.0,Petrol
Suzuki Zen,Maruti,2003,48000,60000.0,Petrol
Eon Era,Hyundai,2013,190000,39700.0,Petrol
Suzuki Zen,Maruti,2008,125000,46000.0,Petrol
Eon Era,Hyundai,2012,188000,38000.0,Petrol
Beat Diesel,Chevrolet,2016,179999,19336.0,Diesel
Indica eV2,Tata,2015,140000,60105.0,Diesel
City 1.5,Honda,2005,120000,68000.0,Petrol
Scorpio 2.6,Mahindra,2004,175000,58000.0,Diesel
Suzuki Omni,Maruti,2009,85000,45000.0,Petrol
Beat LT,Chevrolet,2012,135000,36000.0,Petrol
Scorpio SLX,Mahindra,2004,175000,60000.0,Diesel
Vento Comfortline,Volkswagen,2011,200000,95000.0,Diesel
City ZX,Honda,2006,180000,50000.0,Petrol
Suzuki Wagon,Maruti,2008,140000,68000.0,Petrol
Suzuki Omni,Maruti,2009,85000,56000.0,Petrol
Suzuki Zen,Maruti,2004,70000,100000.0,Petrol
Indigo CS,Tata,2016,110000,85000.0,Diesel
Suzuki Zen,Maruti,2004,68000,56000.0,Petrol
Suzuki Wagon,Maruti,2014,130000,37458.0,Petrol
Santro AE,Hyundai,2011,165000,45000.0,Petrol
Santro,Hyundai,2003,60000,51000.0,Petrol
Getz GLE,Hyundai,2007,99000,55000.0,Petrol
Santro Xing,Hyundai,2007,115000,46000.0,Petrol
Santro Xing,Hyundai,2009,88000,43200.0,Petrol
Santro Xing,Hyundai,2007,135000,42000.0,Petrol
Indica V2,Tata,2009,90000,30600.0,Diesel
Santro Xing,Hyundai,2007,135000,47000.0,Petrol
City 1.5,Honda,2005,95000,41000.0,Petrol
City 1.5,Honda,2005,115000,68000.0,Petrol
Suzuki Wagon,Maruti,2004,53000,69000.0,Petrol
Indica eV2,Tata,2012,85000,55000.0,Diesel
Suzuki Omni,Maruti,2013,165000,25000.0,Petrol
Eon Era,Hyundai,2014,200000,28400.0,Petrol
Eon,Hyundai,2014,200000,28000.0,Petrol
Tavera LS,Chevrolet,2005,130000,68485.0,Diesel
Suzuki Zen,Maruti,2006,71000,32000.0,Petrol
Fusion 1.4,Ford,2007,125000,85455.0,Diesel
Santro Xing,Hyundai,2007,135000,46000.0,Petrol
Santro,Hyundai,2002,60000,47000.0,Petrol
Linea Emotion,Fiat,2009,120000,64000.0,Petrol
Ikon 1.3,Ford,2008,95000,46000.0,Petrol
Indica V2,Tata,2012,115000,64000.0,Diesel
Santro Xing,Hyundai,2007,55000,65000.0,Petrol
Corolla,Toyota,2006,160000,40000.0,Petrol
Sumo Grande,Tata,2010,130000,90000.0,Diesel
Suzuki Alto,Maruti,2003,42000,60000.0,Petrol
Suzuki Swift,Maruti,2009,120000,90000.0,Diesel
Indigo eCS,Tata,2016,130000,150000.0,Diesel
Beat LS,Chevrolet,2014,189000,31000.0,Diesel
Eon D,Hyundai,2013,170000,20000.0,Petrol
Nano,Tata,2013,60000,7000.0,Petrol
Suzuki Alto,Maruti,2005,70000,47000.0,Petrol
Suzuki Alto,Maruti,2005,100000,40000.0,Petrol
Suzuki Ritz,Maruti,2010,150000,38000.0,Diesel
Suzuki Swift,Maruti,2008,162000,60000.0,Diesel
Indica V2,Tata,2005,60000,80000.0,Diesel
Suzuki Omni,Maruti,2000,35999,60000.0,Petrol
Indica V2,Tata,2005,39999,80000.0,Diesel
Santro Xing,Hyundai,2006,85000,60000.0,Petrol
Suzuki Swift,Maruti,2008,175000,58000.0,Diesel
Logan,Mahindra,2009,130000,65000.0,Diesel
Suzuki 800,Maruti,2000,30000,33400.0,Petrol
Santro AE,Hyundai,2003,60000,70000.0,Petrol
Suzuki Wagon,Maruti,2006,100000,7000.0,Petrol
Manza,Tata,2015,100000,100000.0,Diesel
Qualis,Toyota,2003,180000,100000.0,Diesel
Santro Xing,Hyundai,2004,45000,137495.0,Petrol
Indica eV2,Tata,2016,50500,91200.0,Diesel
Indigo eCS,Tata,2016,160000,104000.0,Diesel
Getz,Hyundai,2006,125000,80000.0,Petrol
Suzuki Alto,Maruti,2005,95000,65000.0,Petrol
Fabia,Skoda,2009,110000,45000.0,Petrol
Indica V2,Tata,2009,110000,30000.0,Diesel
